,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
114,Copywriter (Remote),INFUSEmedia,"Madrid, Community of Madrid, Spain",Be an early applicant,2023-02-25,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",55035.0,101058.0,3423.0,122.0,9.0
115,"Analyst - Bioanalytical Lab Operations, 1st shift",Labcorp,"Indianapolis, IN",Be an early applicant,2023-04-01,Mid-Senior level,Management and Manufacturing,Full-time,Hospitals and Health Care,73847.0,111680.0,3300.0,7.0,11.0
116,General Manager of Production,Riverside,"Great Parndon, England, United Kingdom",Be an early applicant,2023-03-31,Executive,Management and Manufacturing,Full-time,Medical Practices,189772.0,210339.0,800.0,457.0,13.0
117,"
            
        Web Designer:in / Grafiker:in 50%
      
          ","
            Kreativagentur Friedli
          ","
            Wohlenschwil, Aargau, Switzerland
          ","
         Be an early applicant
      ",2023-03-08,"
            Mid-Senior level
          ","
            Marketing
          ","
          Full-time
        ","
          Professional Services
          ",181802.0,219554.0,2233.0,47.0,0.0
118,Full Stack Developer - Node.js / Java and React.js,Sugoi Labs,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-14,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting and Technology, Information and Internet",,214491.0,523.0,106.0,
119,Graphic Artist,Paramount Australia & New Zealand,"Pyrmont, New South Wales, Australia",Be an early applicant,2023-04-03,Full-time,,,,175998.0,203354.0,2714.0,,11.0
120,"
            
        Executive Assistant
      
          ","
            Alliants
          ","
            Southampton, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-22,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Hospitality
          ",165005.0,,1318.0,179.0,11.0
121,Senior Full Stack Engineer (m/w/d),Exxeta,"Berlin, Berlin, Germany",Be an early applicant,2023-04-14,Mid-Senior level,Other,Full-time,IT Services and IT Consulting,167368.0,,3016.0,349.0,14.0
122,"
            
        Brand Manager
      
          ","
            GlowUp
          ","
            Mumbai, Maharashtra, India
          ",Be an early applicant,2023-03-16,"
            Mid-Senior level
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",177950.0,,,335.0,14.0
123,"
            
        Executive Assistant
      
          ","
            Government of Jersey
          ","
            St. Helier, Jersey
          ","
         Be an early applicant
      ",2023-02-27,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Government Administration
          ",191376.0,199713.0,188.0,80.0,6.0
124,Commercial Administration Partner & Executive Assistant (EA),,"Sydney, New South Wales, Australia",Be an early applicant,2023-04-25,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting,,203484.0,3474.0,294.0,4.0
125,Technical Writer (Remote),HTTPie,Czechia,Be an early applicant,2023-03-30,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Software Development,129663.0,164598.0,1728.0,,13.0
126,HR Business Partner & Manager (HRBP),Masons of California,"Covina, CA",Be an early applicant,2023-04-08,Mid-Senior level,Human Resources,Full-time,"Technology, Information and Internet",46718.0,65374.0,2352.0,32.0,
127,Internship-HMI Firmware Engineer,,"Osaka, Osaka, Japan",Be an early applicant,2023-03-22,Internship,Engineering and Information Technology,Internship,"Appliances, Electrical, and Electronics Manufacturing",29452.0,73805.0,3661.0,78.0,14.0
128,"
            
        Machine Learning Engineer
      
          ","
            Extend Information Systems Inc.
          ","
            Boston, MA
          ","
         Actively Hiring
      ",2022-12-05,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",,189589.0,3523.0,403.0,3.0
129,Lead Engineer - Backend,InkPaper.ai,India,"
         Actively Hiring
      ",2023-03-22,Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,69121.0,96300.0,2180.0,435.0,
130,"
            
        Executive Assistant
      
          ","
            Techary
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-02-16,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",189322.0,226827.0,2790.0,181.0,2.0
131,"
            
        Stagiaire Designer Web
      
          ","
            NHdesign
          ","
            Vevey, Vaud, Switzerland
          ","
         Actively Hiring
      ",2023-02-21,"
          Internship
        ",,,,100360.0,,,,6.0
132,Administrative Assistant,Koenig Equipment,"Greensburg, IN",Be an early applicant,2023-03-24,Entry level,Administrative,Full-time,Medical Device,48275.0,79888.0,3492.0,390.0,10.0
133,Assistant Superintendent of Human Resources,Elmhurst District 205 Public Schools,"Elmhurst, IL",Be an early applicant,2023-04-08,Entry level,Human Resources,Contract,,179546.0,208175.0,4268.0,351.0,7.0
134,"Tech Lead Manager, Machine Learning Engineer, Search Recommendation",TikTok,"San Jose, CA",Actively Hiring,2023-03-28,Not Applicable,"Research, Information Technology, and Engineering",Full-time,Entertainment Providers,91953.0,,,,9.0
135,HR Assistant,PS,"El Segundo, CA",Actively Hiring,2023-04-06,Director,Human Resources,Full-time,Human Resources Services,187240.0,197825.0,2488.0,420.0,
136,Machine Learning Engineer,AIM,"Melbourne, Victoria, Australia",Actively Hiring,2023-02-23,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,165082.0,198376.0,2136.0,13.0,7.0
137,Legal Partner (Inhouse),SquadStack,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-04,Mid-Senior level,Legal,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",79302.0,116519.0,,76.0,
138,18_066?????????????????????(???????)<SL>,,"Tokyo, Tokyo, Japan",Be an early applicant,2023-03-02,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,117687.0,152040.0,,230.0,8.0
139,Senior Motion Designer - Optus Sport,Optus Sport,"Macquarie Park, New South Wales, Australia",Be an early applicant,2023-04-28,Mid-Senior level,Other,Full-time,Staffing and Recruiting,157676.0,180263.0,4941.0,428.0,13.0
140,"Fullstack Engineer, Shopify & NodeJs",LUKSO,"Berlin, Berlin, Germany",Actively Hiring,2023-01-13,Mid-Senior level,Other,Contract,"Technology, Information and Internet",106596.0,130928.0,3502.0,71.0,12.0
141,Business Manager,Carrington King,"Yarrawonga, Victoria, Australia",Actively Hiring,2023-04-24,Mid-Senior level,Sales and Advertising,Full-time,Advertising Services,106360.0,137133.0,,14.0,12.0
142,Full Stack Engineer,Katchin Tech,"New Delhi, Delhi, India",Actively Hiring,2023-02-24,Full-time,,,,43720.0,93497.0,2048.0,146.0,1.0
143,"
            
        Executive Assistant To Chief Executive Officer
      
          ","
            Jonathan Sanders & Co
          ","
            Soho, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-12,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",94506.0,119571.0,419.0,,8.0
144,"
            
        Solution Architect
      
          ","
            Wipro
          ","
            Gautam Buddha Nagar, Uttar Pradesh, India
          ","
         Be an early applicant
      ",2023-03-28,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",152120.0,167995.0,3978.0,39.0,6.0
145,Full stack Developer,CodersBrain,"Bengaluru North, Karnataka, India",Be an early applicant,2023-01-29,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,121503.0,139069.0,4322.0,321.0,
146,Firmware Engineer,W3Global,"Austin, TX",Be an early applicant,2023-03-18,Entry level,Information Technology,Full-time,Software Development,112741.0,145533.0,4835.0,457.0,9.0
147,Full Stack Developer (Remote),MonetizeMore,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-14,Mid-Senior level,Engineering and Information Technology,Full-time,Internet Publishing,90079.0,137747.0,4921.0,491.0,6.0
148,CoreOS Quality Engineer - Embedded Runtimes,Apple,"Austin, TX",Actively Hiring,2023-04-09,Not Applicable,Quality Assurance,Full-time,Computers and Electronics Manufacturing,77327.0,114832.0,4901.0,369.0,5.0
149,"
            
        Director - Digital Transformation & Innovation
      
          ","
            Concentrix
          ","
            Gurugram, Haryana, India
          ","
         Actively Hiring
      ",2023-04-09,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          Business Consulting and Services
          ",80794.0,104294.0,4205.0,483.0,7.0
150,"
            
        Personal Assistant
      
          ","
            Santander UK
          ","
            Milton Keynes, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-16,"
          Full-time
        ",,,,157857.0,206446.0,208.0,,8.0
151,Support Specialist,Lifeline Youth & Family Services,"Fort Wayne, IN",Be an early applicant,2023-03-03,Entry level,Administrative,Full-time,Investment Banking,187800.0,236878.0,1756.0,358.0,6.0
152,DeFi Engineer - Rust & Solidity [Remote],Braintrust,"Stuttgart, Baden-W�rttemberg, Germany",Be an early applicant,2023-04-17,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",130348.0,148542.0,4950.0,427.0,9.0
153,Software Engineer,SENSE Corporation,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-20,Entry level,Engineering and Information Technology,Full-time,International Trade and Development,114837.0,156259.0,1989.0,265.0,2.0
